kind,priority_rank,priority_group,id,title,status,severity_or_priority,classification,recommended_action,why
roadmap,R00,"Umbrella, not a build packet",roadmap_item.a2a.native.stateful.server.for.agentic.work,A2A-native stateful server for agentic work,active,p1,planned,Keep as governing initiative; do not assign directly.,"Praxis exposes an A2A-compatible server surface; A2A agents, skills, tasks, messages, artifacts, and statuses have explicit DB/CQRS mappings; existing provider registry, workflow runs, evidence, receipts, and operator UI are mapped under durable work programs; competing roadmap and bug work is classified as foundation, core, adapter, later, or retire."
roadmap,R01,Foundation first,roadmap_item.a2a.native.stateful.server.for.agentic.work.foundation.reliability.and.authority.health,Foundation reliability and authority health,active,p1,planned,"Fix cold-start authority, health truth, graph projection, worker force-fail, and query/readback reliability.",/orient and /api/health respond reliably; roadmap and operator graph projections read without P1 crashes; admitted worker runs do not force-fail; route health reports degraded states honestly; provider and circuit failures fail closed instead of silently selecting unavailable execution paths.
roadmap,R02,Protocol contract,roadmap_item.a2a.native.stateful.server.for.agentic.work.a2a.protocol.surface,A2A protocol surface,active,p1,planned,Define the external A2A task/message/artifact/status surface after foundation reads are trustworthy.,"A2A clients can discover Praxis, inspect its skills, create or resume a task, send and receive messages, attach artifacts, observe status, and cancel work through a protocol-compatible surface backed by Praxis authority."
roadmap,R03,DB/CQRS kernel,roadmap_item.a2a.native.stateful.server.for.agentic.work.a2a.db.and.cqrs.kernel,A2A DB and CQRS kernel,active,p1,planned,"Map A2A objects to durable work programs, receipts, events, evidence, and query surfaces.","Given any A2A task, message, artifact, or agent id, Praxis can query the corresponding work program, run, event, evidence, receipt, route, and operator state through CQRS surfaces without scraping raw payload blobs."
roadmap,R04,Agent registry and routing,roadmap_item.a2a.native.stateful.server.for.agentic.work.agent.registry.and.routing.control.plane,Agent registry and routing control plane,active,p1,planned,"Make provider/agent availability, credentials, circuit breakers, costs, and denial reasons queryable and fail-closed.","An external A2A agent can be registered, inspected, enabled or disabled, routed to, denied with machine-readable reasons, and shown in provider/capability matrices without bypassing credential, circuit, cost, tenant, or lane policy."
roadmap,R05,Durable work programs,roadmap_item.a2a.native.stateful.server.for.agentic.work.durable.work.programs.over.a2a.tasks,Durable work programs over A2A tasks,active,p1,planned,"Give agents durable resume state across tasks, attempts, blockers, decisions, artifacts, and recommended next actions.","One work program can contain multiple A2A tasks from different agents; a later agent can resume the program and see current objective, prior attempts, blockers, decisions, artifacts, and recommended next action without relying on chat history."
roadmap,R06,Compiler parent,roadmap_item.a2a.native.stateful.server.for.agentic.work.durable.work.programs.over.a2a.tasks.intent.aware.synthesis.prompt.compiler,Intent-aware synthesis prompt compiler,active,p1,planned,Treat as current compile reliability wave under durable work programs; reassess scope because related files changed.,"Today the synthesis prompt is a fixed 5572-char template that ships the same DATA PILLS / DATA DICTIONARY / TASK blocks for every intent. Live evidence: Together DeepSeek-V4-Pro entered a degenerate We-have16 reasoning loop on a trivial validate/summarize/record intent because the prompt forced 20-packet decomposition with 8 irrelevant tool-parameter pills and a full 5-stage dictionary dump. Fix: compile the synthesis prompt at runtime from recognize_intent output (verbs, spans, suggested_steps)"
roadmap,R06.1,Compiler: recognized steps,roadmap_item.a2a.native.stateful.server.for.agentic.work.durable.work.programs.over.a2a.tasks.intent.aware.synthesis.prompt.compiler.wire.recognize.intent.output.into.synthesis.prompt,Wire recognize_intent output into synthesis prompt,active,p1,planned,Highest leverage: stop the prompt from inventing 20 packets when intent already has recognized steps.,"runtime.intent_recognition.recognize_intent already extracts spans, suggested_steps, gaps, and matches for the compile-preview surface — the synthesis prompt does not consume any of it. Fix: pass the recognition result into _build_synthesis_prompt so the prompt ships a RECOGNIZED STEPS block (the spans Praxis already extracted) and replaces the hardcoded 'up to 20 concrete packet seeds' clause with 'one seed per recognized step (~N here)'. Highest-leverage single change because it kills the 20-p"
roadmap,R06.2,Compiler: seed schema only,roadmap_item.a2a.native.stateful.server.for.agentic.work.durable.work.programs.over.a2a.tasks.intent.aware.synthesis.prompt.compiler.slim.planpacket.schema.in.synthesis.to.seed.only.fields,Slim PlanPacket schema in synthesis to seed-only fields,active,p1,planned,Remove schema confusion: synthesis should see only fields it emits.,"Today's synthesis prompt enumerates all 16 PlanPacket fields (label, stage, description, prompt, write, agent, capabilities, consumes, produces, depends_on, gates, parameters, workdir, on_failure, on_success, timeout). Synthesis only emits a 4-field seed shape ({label, stage, description, depends_on}). The other 12 fields are filled by the synthesizer scaffold or by fork-out authors per packet. Fix: build_shared_prefix and _build_synthesis_prompt should narrow the PlanPacket field block to only "
roadmap,R06.3,Compiler: ranked data pills,roadmap_item.a2a.native.stateful.server.for.agentic.work.durable.work.programs.over.a2a.tasks.intent.aware.synthesis.prompt.compiler.embedding.rank.pill.suggestions.instead.of.alphabetical.pull,Embedding-rank pill suggestions instead of alphabetical pull,active,p1,planned,Stop irrelevant tool-parameter pills from steering plans.,"Live evidence: synthesis prompt for 'validate input is non-empty, summarize it in one sentence, record receipt' shipped 8 DATA PILLS — every one of which was a tool-parameter pill (tool:praxis_bug_replay_provenance_backfill.open_only, tool:praxis_compose_plan_via_llm.concurrency, tool:praxis_heal.failure_code, etc.). Zero pills matched the verbs validate/summarize/record. Fix: backfill embeddings on data_dictionary_objects (one-time pgvector pass), then change suggest_plan_atoms to retrieve top-"
roadmap,R06.4,Compiler: stage filtering,roadmap_item.a2a.native.stateful.server.for.agentic.work.durable.work.programs.over.a2a.tasks.intent.aware.synthesis.prompt.compiler.filter.stage.dictionary.by.recognized.verbs,Filter stage dictionary by recognized verbs,active,p2,planned,Only include stages reachable from recognized verbs.,"The synthesis prompt's DATA DICTIONARY (registered stages) section dumps all 5 stages (build / fix / review / test / research) with their consumes/produces arrays for every intent. For 'validate / summarize / record', only review and build are reachable — the other 3 are pure noise. Fix: map verb tokens from recognize_intent to the stages that produce/consume their typed outputs (validate→review, summarize→build, record→build, search→research, fix→fix, etc.) and only include those rows in the pr"
roadmap,R06.5,Compiler: typed output example,roadmap_item.a2a.native.stateful.server.for.agentic.work.durable.work.programs.over.a2a.tasks.intent.aware.synthesis.prompt.compiler.replace.output.placeholder.template.with.rendered.typed.example,Replace OUTPUT placeholder template with rendered typed example,active,p2,planned,Replace metavariable placeholder with concrete JSON shape.,"Today's synthesis prompt OUTPUT block ends with a placeholder schema: {""packet_seeds"": [{""label"": ""<slug>"", ""stage"": ""<research|review|build>"", ""description"": ""<one sentence>"", ""depends_on"": [""<upstream_label>"", ...]}, ...]}. The angle-bracket placeholders are not concrete enough to anchor a quantized model's structured output. Fix: render the OUTPUT block as a fully-formed JSON example whose seed count matches the recognized step count, with realistic label slugs, real stage values, and one-sen"
roadmap,R06.6,Compiler: temp tweak,roadmap_item.a2a.native.stateful.server.for.agentic.work.durable.work.programs.over.a2a.tasks.intent.aware.synthesis.prompt.compiler.synthesis.temperature.0.2.instead.of.0.0,Synthesis temperature 0.2 instead of 0.0,active,p2,planned,Use only after shape fixes; tiny stochasticity is not an authority substitute.,LLMRequest defaults temperature=0.0 across all calls. Greedy decoding amplifies repetition collapse on quantized models — confirmed live by the We-have16 loop on DeepSeek-V4-Pro at temp=0. Fix: synthesis call sets temperature=0.2. Tiny stochasticity breaks degenerate token attractors without compromising reproducibility (the structured JSON schema constrains the output anyway). Fork-out author calls stay at 0 because they have a fully scaffolded PlanPacket shape and tighter prompt structure. One
roadmap,R06.7,Compiler: prior examples,roadmap_item.a2a.native.stateful.server.for.agentic.work.durable.work.programs.over.a2a.tasks.intent.aware.synthesis.prompt.compiler.few.shot.worked.example.retrieved.from.prior.compile.receipts,Few-shot worked example retrieved from prior compile receipts,active,p1,planned,Ship after receipts/examples can be retrieved by authority and similarity.,"Synthesis runs zero-shot at temperature=0 on a quantized reasoning model (DeepSeek-V4-Pro). That combination has no escape from degenerate basins — observed live as a 2048-token We-have16 reasoning loop. Fix: pull 1-2 worked examples from authority_operation_receipts where operation_ref='compose_plan_via_llm' and result_status='completed', match by embedding similarity to the current intent, render their packet_seeds output as a fully-formed example block before the OUTPUT line. Highest-leverage"
roadmap,R07,Operator cockpit,roadmap_item.a2a.native.stateful.server.for.agentic.work.operator.cockpit.for.stateful.a2a.work,Operator cockpit for stateful A2A work,active,p1,planned,Build human control view after the underlying read models are authoritative.,"A human can open one work program, see its A2A tasks/messages/artifacts/statuses, understand what changed and why, pause or redirect work, approve or retry actions, and hand the work to another agent without reading raw logs or chat residue."
roadmap,R08,Adapter consolidation,roadmap_item.a2a.native.stateful.server.for.agentic.work.adapter.consolidation.into.a2a.native.kernel,Adapter consolidation into the A2A-native kernel,active,p1,planned,Collapse MCP/CLI/API/A2A ingress into one work-program model after the kernel is real.,"A task submitted through MCP, CLI, public API, or an A2A client lands in the same durable work-program/A2A record model with the same routing, evidence, artifact, and operator-control behavior; duplicated execution authority is either removed or explicitly demoted to adapter glue."
bug,B001 (110),foundation_authority,BUG-BD989209,/orient standing_orders projection fails with missing scope_clamp column,OPEN,P1,foundation_authority,Fix early: these surfaces tell agents what is true; leaving them broken poisons every other decision.,A2A lane: Foundation reliability and authority health; triage: blocks_v1; not replay-ready
bug,B002 (110),foundation_authority,BUG-0C0C55B1,Worker force-fails every admitted run with workflow.execution_crash; effective workflow-runtime outage,OPEN,P1,foundation_authority,Fix early: these surfaces tell agents what is true; leaving them broken poisons every other decision.,A2A lane: Foundation reliability and authority health; triage: blocks_v1; not replay-ready
bug,B003 (110),foundation_authority,BUG-1DBACCD8,[hygiene-2026-04-22/db-authority] Bug surface and documented Postgres fallback read different bug tables,OPEN,P1,foundation_authority,Fix early: these surfaces tell agents what is true; leaving them broken poisons every other decision.,A2A lane: Foundation reliability and authority health; triage: blocks_v1; not replay-ready
bug,B004 (110),foundation_authority,BUG-026AB2E7,praxis_graph_projection fails on empty decision_ref row,OPEN,P1,foundation_authority,Fix early: these surfaces tell agents what is true; leaving them broken poisons every other decision.,A2A lane: Foundation reliability and authority health; triage: blocks_v1; not replay-ready
bug,B005 (110),foundation_authority,BUG-D39EBC3F,workflow health reports healthy while projections are critical and routes are unhealthy,OPEN,P1,foundation_authority,Fix early: these surfaces tell agents what is true; leaving them broken poisons every other decision.,A2A lane: Foundation reliability and authority health; triage: blocks_v1; not replay-ready
