OPEN	P3	VERIFY	BUG-C3800386	Dashboard quick reference contains static provider circuit and model values		{"audit_group":"F_picker_helper_leaks","grouping_source":"codex_catalog_circuit_audit_2026-04-26","assignment_reason":"Static quick-reference cleanup is low-risk docs/readmodel hygiene.","suggested_sequence":4,"recommended_model_tier":"cheap_model_or_junior"}
DEFERRED	P2	WIRING	BUG-E17B3DFB	Proof and install scripts hardcode provider/model slugs outside catalog authority		{"remaining":"Scripts do not dynamically pull catalog-selected routes. This is acceptable for prove scripts (they exercise specific paths by design). A catalog-dynamic prove script is not warranted until prove scripts are promoted to CI fixtures.","audit_group":"F_picker_helper_leaks","fix_applied":"1) prove_workflow.py: gemini-2.5-flash replaced with gemini-3.1-pro (2.5 is operator-forbidden for non-throwaway work). 2) install_agent_sessions.sh: default CLI_PROVIDER changed from 'codex' to 'claude' (Anthropic CLI is the active primary per operator standing orders). Note: the agent_sessions._cli_provider() stub currently ignores this value and routes everything through deepseek-v4-pro via OpenRouter — the script default change is a correctness fix for when multi-provider routing is restored.","grouping_source":"codex_catalog_circuit_audit_2026-04-26","assignment_reason":"Proof/install script slugs can be replaced with catalog-selected examples under tight instructions.","suggested_sequence":3,"recommended_model_tier":"junior_or_mid_coder","a2a_v1_cleanup_2026_04_26":{"reason":"Proof scripts can use path-specific providers until promoted into CI authority.","triage":"defer_until_ci_or_prove_scripts_become_authority","lane_label":"Agent registry and routing control plane","decision_ref":"operator_decision.architecture_policy.product_architecture.stateful_a2a_server_with_praxis_core","relation_kind":"deferred_under","classification":"agent_registry_routing","roadmap_item_id":"roadmap_item.a2a.native.stateful.server.for.agentic.work.agent.registry.and.routing.control.plane"}}
DEFERRED	P2	WIRING	BUG-698CCCF9	Cascade queue specs contain hardcoded provider routing guidance outside catalog		{"audit_group":"E_compiler_rollover_spec_integration","fix_applied":"Added config/cascade/specs/README.md explaining historical nature and warning about slug validation before re-running","reassessment":"cascade/specs files are historical run archives, not live routing templates. The agent field records which model executed each debate position — it is a historical fact, not an active routing instruction. The prose inside prompts mentioning 'Gemini Pro, GPT frontier, Opus' is the subject being debated, not a routing directive. maintenance.queue.json (the only live template) uses 'auto/review' and 'auto/build' agent slugs — no hardcoded providers. Added config/cascade/specs/README.md to document the archive nature and warn about catalog validation before re-running. The enforcement gate (launcher validating agent slugs against catalog at launch time) is a Group A concern.","grouping_source":"codex_catalog_circuit_audit_2026-04-26","assignment_reason":"Queue spec hardcoded routing cleanup is mostly inventory plus normalization to catalog-backed examples.","suggested_sequence":3,"recommended_model_tier":"mid_coder","a2a_v1_cleanup_2026_04_26":{"reason":"Historical cascade specs are archive evidence; live rerun validation belongs to adapter consolidation later.","triage":"defer_until_historical_spec_launch_validation","lane_label":"Adapter consolidation into the A2A-native kernel","decision_ref":"operator_decision.architecture_policy.product_architecture.stateful_a2a_server_with_praxis_core","relation_kind":"deferred_under","classification":"adapter_consolidation","roadmap_item_id":"roadmap_item.a2a.native.stateful.server.for.agentic.work.adapter.consolidation.into.a2a.native.kernel"}}
DEFERRED	P2	WIRING	BUG-C20010FE	Carry-forward catalog filtering has no explanation for stripped route hints		{"next_steps":["When carry-forward packs are DB-persisted, add stripped_route_hints JSONB column to store structured {item, reason, catalog_state_at} rows","Expose via praxis workflow query 'carry forward stripped routes'"],"audit_group":"E_compiler_rollover_spec_integration","fix_applied":"_filter_sections_for_effective_catalog now returns (kept_sections, stripped_items) tuple. Both callers (build_interaction_pack and filter_pack_for_effective_provider_catalog) capture stripped items and inject them into the pack's risks field as '[blocked route] {original_text}' annotations. This makes the reason trail visible in any pack summary or compaction output without DB schema changes.","deferred_scope":"Full 'queryable via workflow query tools' trail requires DB persistence — a new stripped_route_hints table or column on carry_forward_packs. Deferred until carry-forward packs gain a DB-backed storage path rather than JSON files.","grouping_source":"codex_catalog_circuit_audit_2026-04-26","assignment_reason":"Carry-forward explanation is contained provenance/reporting work once filtering already exists.","suggested_sequence":2,"recommended_model_tier":"mid_or_strong_coder","a2a_v1_cleanup_2026_04_26":{"reason":"Full queryable carry-forward route hint history requires a DB-backed pack store first.","triage":"defer_until_carry_forward_packs_are_db_backed","lane_label":"Adapter consolidation into the A2A-native kernel","decision_ref":"operator_decision.architecture_policy.product_architecture.stateful_a2a_server_with_praxis_core","relation_kind":"deferred_under","classification":"adapter_consolidation","roadmap_item_id":"roadmap_item.a2a.native.stateful.server.for.agentic.work.adapter.consolidation.into.a2a.native.kernel"}}
DEFERRED	P2	ARCHITECTURE	BUG-8268682D	Provider catalog maintenance is not exposed as operation-catalog primitives		{"reason":"Building catalog maintenance operations (refresh/validate/explain/repair) as operation-catalog primitives requires the canonical catalog read-model API to exist first. That contract is being defined in Group A (BUG-EBE27625, BUG-5444AA3C). Attempting this before Group A produces a second, incompatible authority shape. Resume after Group A catalog contract is settled.","status":"DEFERRED_PENDING_GROUP_A","next_steps":["Wait for Group A bugs to define the canonical catalog query/read API","Map refresh/validate/explain/repair to operation_catalog_registry rows with proper event_type contracts","Wire to gateway dispatch via execute_operation_from_subsystems"],"audit_group":"D_cost_and_catalog_operations","grouping_source":"codex_catalog_circuit_audit_2026-04-26","assignment_reason":"Catalog refresh/validate/explain operations are straightforward if built from the canonical catalog contract.","suggested_sequence":2,"recommended_model_tier":"mid_or_strong_coder","a2a_v1_cleanup_2026_04_26":{"reason":"Catalog maintenance primitives should wait for the canonical provider capability matrix contract.","triage":"defer_until_group_a_catalog_contract","lane_label":"Agent registry and routing control plane","decision_ref":"operator_decision.architecture_policy.product_architecture.stateful_a2a_server_with_praxis_core","relation_kind":"deferred_under","classification":"agent_registry_routing","roadmap_item_id":"roadmap_item.a2a.native.stateful.server.for.agentic.work.agent.registry.and.routing.control.plane"}}
DEFERRED	P2	WIRING	BUG-C803B5EB	Provider picker and helper surfaces bypass effective provider catalog		{"next_steps":["When _cli_provider stub is removed, add GET /api/agent-sessions/cli-providers endpoint that reads SUPPORTED_CLI_PROVIDERS + API_PROVIDERS from permission_matrix","Update console HTML to fetch provider list dynamically at init instead of PROVIDERS constant"],"audit_group":"F_picker_helper_leaks","reassessment":"Bug premise is partially overstated. agent_sessions._cli_provider() (line 759) is a hard stub that always returns 'deepseek-v4-pro' regardless of the body.provider field. The console picker value is stored in the session row but does not drive dispatch. The picker is vestigial UI, not a routing leak. The real issue is the stub itself — when agent sessions supports multi-provider routing again, the picker will need catalog-backed options. The onboarding/prober helpers referenced in the bug do not contain hardcoded provider lists in the console HTML (the select is state-managed). The workflow_query.py _MARKET_MODEL_FAMILY_RULES is a search family classifier for model search, not a routing allowlist. No immediate code change warranted. Resume when _cli_provider stub is removed and multi-provider agent sessions routing is restored.","grouping_source":"codex_catalog_circuit_audit_2026-04-26","assignment_reason":"Console/helper picker cleanup should read the catalog and remove hardcoded provider lists.","suggested_sequence":1,"recommended_model_tier":"mid_coder","a2a_v1_cleanup_2026_04_26":{"reason":"Picker cleanup is not live routing authority until multi-provider agent sessions return.","triage":"defer_until_multiroute_agent_sessions","lane_label":"Agent registry and routing control plane","decision_ref":"operator_decision.architecture_policy.product_architecture.stateful_a2a_server_with_praxis_core","relation_kind":"deferred_under","classification":"agent_registry_routing","roadmap_item_id":"roadmap_item.a2a.native.stateful.server.for.agentic.work.agent.registry.and.routing.control.plane"}}
WONT_FIX	P2	OTHER	BUG-4820B3A1	probe		null
WONT_FIX	P2	ARCHITECTURE	BUG-5A882BAB	ButtonRowModule config POSTs to arbitrary endpoints; any manifest can fire cross-surface requests		null
DEFERRED	P2	WIRING	BUG-DF712F78	Dataset auto-promote skipped curated-projection cache invalidation		{"stale":{"owner":"nate","reason":"Implemented in untracked workspace work on 2026-04-24; retained for audit closure","decided_at":"2026-04-26T07:48:49Z"},"fix_landed":"2026-04-24: shared helper _arecord_dataset_promotion_row in surfaces/api/operator_write.py owns INSERT + event emission + cache invalidation. Both manual (arecord_dataset_promotion) and auto (runtime/dataset_candidate_subscriber._maybe_auto_promote) paths use it. Tombstone supersede consolidated similarly via _arecord_dataset_promotion_tombstone, used by both operator_write.asupersede_dataset_promotion and runtime.dataset_staleness._insert_tombstone_and_supersede. test_auto_promote_inserts_and_emits_when_eligible updated to assert cache-invalidation call (was silently encoding the bug).","hypothesis":"fix landed via shared _arecord_dataset_promotion_row helper","validation":["PYTHONPATH='.' python3 -m pytest tests/unit/test_dataset_auto_promote.py tests/unit/test_dataset_staleness.py -q -> 23/23 passed"],"evidence_files":["Code&DBs/Workflow/surfaces/api/operator_write.py:7302-7370 _arecord_dataset_promotion_row","Code&DBs/Workflow/surfaces/api/operator_write.py:7252-7300 _arecord_dataset_promotion_tombstone","Code&DBs/Workflow/runtime/dataset_candidate_subscriber.py:734-770","Code&DBs/Workflow/runtime/dataset_staleness.py:176-194"],"validation_command":"PYTHONPATH='Code&DBs/Workflow' python3 -m pytest --noconftest -q tests/unit/test_dataset_auto_promote.py tests/unit/test_dataset_staleness.py","verifier_blocked_by":"verifier.job.python.pytest_file does not pass --noconftest; cannot auto-resolve until verifier accepts conftest opt-out"}
WONT_FIX	P3	WIRING	BUG-6C5D628C	test placeholder		null
DEFERRED	P2	ARCHITECTURE	BUG-D91DD073	Manifest integrations cannot express query-parameter API key auth such as OpenWeather appid		{"evidence":["Official OpenWeather docs require appid query parameter for API calls.","Code&DBs/Workflow/runtime/integration_manifest.py build_manifest_handler only adds Authorization bearer header when token is present."],"next_steps":["Add auth placement to AuthShape, e.g. location=query and parameter=appid, then teach build_manifest_handler/execute_webhook to append the resolved secret safely.","Add a unit test with an OpenWeather-like manifest proving query auth injection without leaking the secret in receipts.","Until fixed, generated connectors for OpenWeather should use custom client code instead of manifest-only auth."],"status_note":"Custom connector workaround is verified through declared AUTH_SHAPE and connector smoke, but manifest-only query auth is not fixed; keep this as the dedicated manifest-runtime follow-up despite earlier verification evidence."}
